build_mode,search_depth,minimum_path_probability,optimize_baseline_weights,stage,candidate,games,mean_score,median_score,score_stddev,runtime_seconds,main_line,structural_stability,adverse_stuck,structural_displacement,empty_cells,monotonicity,smoothness,corner_preference,search_nodes,game_ms_per_move,cache_hit_rate
Release,4,0,true,1,30,3,80130.666666666672,79256,47658.020157506893,1275.7700097500001,2.9045468893683473,1.4470663972895352,10.455840402762322,1.3921581582840894,91.145069916776933,34.467767965143203,48.485105421983178,21.183151123061435,1912472003,119.6557845815982,0.52040542983123117
Release,4,0,true,1,31,3,46766.666666666664,61236,25942.973255456542,1182.6740930829999,1.941127941263594,0.12363055150768239,1.4002235830796641,7.245951806610007,72.83201260832179,25.669513741266972,77.669797849111433,24.598448193507913,1473946894,173.9226563970588,0.53790639266714446
Release,4,0,true,2,4,8,69570,62060,39119.863628158448,2577.7740107499999,0.42307768772504512,6.0666770253277047,9.398604147433522,2.021755460438059,57.138216702302209,63.153087363661584,48.617274196141004,24.662013691639952,4477940334,100.93875683949408,0.51729701384103111
Release,4,0,true,2,6,8,73682,69146,27721.45343540682,938.104021708,1.3726429758766383,1.1744151055476499,3.0596792676181983,0.56089881089668769,115.82974924638357,37.302367198010373,24.712293838159923,27.468659832176016,5323027666,35.66392869905718,0.52780668220762961
Release,4,0,true,2,20,8,65396,66500,26320.045505822582,985.48662937500001,5.11313839695128,0.17989875105919867,8.3229390716132308,2.7689463019887008,73.142228226631261,50.842389383111623,50.17468229829953,20.936483845014227,4842226258,41.036292678242759,0.52764682516452865
Release,4,0,true,2,30,8,66891,63316,29646.260665193029,933.86515737499997,2.9045468893683473,1.4470663972895352,10.455840402762322,1.3921581582840894,91.145069916776933,34.467767965143203,48.485105421983178,21.183151123061435,4741121217,38.221467695657516,0.52725386183223844
Release,4,0,true,2,11,8,54391.5,60362,24634.492467734286,1644.8522895420001,7.8650722586171868,0.48836036436299535,4.4943734908073942,9.1953597618190823,66.804881341478691,22.016219777019696,61.670413553426748,38.946025727137226,4257083478,79.182219291099031,0.52937059246527884
Release,4,0,true,2,7,8,66083,64204,25519.898857838089,5100.347794458,3.4685435309822195,2.6435561875170235,2.4723517085228028,4.7102185162482542,57.680332977251645,46.347860648307474,69.967284075564081,24.190558630275522,4674142778,209.48567514313879,0.52573938434701506
Release,4,0,true,2,16,8,66184,75206,18716.465234043069,2239.3625969169998,1.3271797037713833,1.4997226573344973,0.56692654584522784,6.5072398403914784,85.83709377587607,18.272885695036496,61.111683698874849,36.357974357539042,4806135305,89.299459321928452,0.52465572613234412
Release,4,0,true,2,1,8,75557.5,76674,37724.333151353196,3831.779673083,4,1,2,2,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,5206256349,142.91819113110293,0.52538589247462886
Release,4,0,true,2,22,8,65873.5,75110,21057.925762728184,1117.4357075,2.1110543105141502,2.5397380335974278,0.27932366158044519,1.8743335266836052,51.312104504257526,75.704887935841555,53.320569730168991,24.338694572025361,4712138429,45.017954012609778,0.52369374792157319
Release,4,0,true,2,3,8,68322.5,62136,41420.625638511476,815.34356170800004,4,0,0,2,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,4889582660,33.06742589491828,0.52879587686184437
Release,4,0,true,2,21,8,56073.5,49230,31436.768422615307,644.34576304100005,0.63732538684290374,0.2114326427563927,2.941226797468838,6.1883724749406372,69.147329581104444,60.015568325302198,31.076467823783609,41.262983242470028,4559433869,30.272289953817239,0.53365904170257172
Release,4,0,true,2,5,8,60705,60874,17169.40877590972,671.62815495799998,1.4619380018957044,0.21564738556367416,1.212753321279167,8.1116653271397716,106.11698106228029,24.481549746834236,49.050526809139477,20.829644620536719,4764666779,29.205031382702096,0.53061253833471755
Release,4,0,true,2,26,8,51592,55116,15872.253310190621,604.11826379199999,2.4864970744953467,1.2976206951540912,1.813364232106897,1.078753121283077,65.211673156522622,34.672635240169633,80.190049811046791,24.730112943890589,4306939547,30.758017938699656,0.53587092855839935
Release,4,0,true,2,29,8,64225.5,69750,29308.479197275705,672.76912170799994,3.2314463413711771,1.0214014665786291,3.6351730281738011,0.40249591204331331,57.69137057023061,25.47494077638574,73.273043249483379,46.750834930402384,4782373292,28.204799015511675,0.5286765899312631
Release,4,0,true,2,25,8,60603.5,65480,16754.880150485795,653.14510966600005,5.455859629250277,2.862251663369896,18.821954293841792,1.412472252459019,67.344682171093197,35.212637285771109,33.843834323549508,46.527014655334256,4435600810,28.622821835268855,0.52609459521480062
Release,4,0,true,2,17,8,75020.5,78434,24063.812160883524,851.20480166699997,1.3903310229706454,0.92265066022442754,10.694539180682135,2.6284903058906073,71.455938584434463,49.772993955593641,24.255684863448284,50.360077701424878,5493345964,30.913492524750318,0.52761757426585754
Release,4,0,true,3,1,20,64604.800000000003,64006,28457.823169329764,2156.273458875,4,1,2,2,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,11967746977,36.31922043606199,0.52939643299573069
Release,4,0,true,3,17,20,63209.400000000001,72038,24004.708039093188,2041.4899587909999,1.3903310229706454,0.92265066022442754,10.694539180682135,2.6284903058906073,71.455938584434463,49.772993955593641,24.255684863448284,50.360077701424878,12225159860,34.568691759363993,0.53038304828762273
Release,4,0,true,3,6,20,72372,66562,26121.631125019336,1839.501717333,1.3726429758766383,1.1744151055476499,3.0596792676181983,0.56089881089668769,115.82974924638357,37.302367198010373,24.712293838159923,27.468659832176016,13065138557,28.12779616792562,0.52717558980290957
Release,4,0,true,3,4,20,66260.399999999994,62060,31586.498112159785,1583.124760333,0.42307768772504512,6.0666770253277047,9.398604147433522,2.021755460438059,57.138216702302209,63.153087363661584,48.617274196141004,24.662013691639952,11137691558,25.786714556203478,0.52016768611934394
Release,4,0,true,3,3,20,60804.800000000003,58846,29296.815637270385,661.45690970800001,4,0,0,2,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,11649653180,11.72130804917423,0.53143322016510419
Release,4,0,true,3,30,20,60093.599999999999,60772,24366.703715046115,1592.0129737909999,2.9045468893683473,1.4470663972895352,10.455840402762322,1.3921581582840894,91.145069916776933,34.467767965143203,48.485105421983178,21.183151123061435,11316177973,28.391284194439493,0.53024611378699493
